Author,Year,Title,Journal,Keywords,JEL.Codes,Date.Created,Article.Link
Peter Temin,2008,The German crisis of 1931: evidence and tradition,Cliometrica,"Great depression, Currency crises, German crisis",N24 F34 N44,2008-02-15,https://econpapers.repec.org/article/afccliome/v_3a2_3ay_3a2008_3ai_3a1_3ap_3a5-17.htm
Terence C. Mills,2008,Exploring historical economic relationships: two and a half centuries of British interest rates and inflation,Cliometrica,"Gibson Paradox, Inflation, Interest rates, Prices, Real interest rates, Volatility",C22 E31 N13 N14,2008-08-30,https://econpapers.repec.org/article/afccliome/v_3a2_3ay_3a2008_3ai_3a3_3ap_3a213-228.htm
Terence C. Mills,2009,Modelling trends and cycles in economic time series: historical perspective and future developments,Cliometrica,"Cycles, Decompositions, Time series, Trends",C22 E27 E32 N1,2009-08-25,https://econpapers.repec.org/article/afccliome/v_3a3_3ay_3a2009_3ai_3a3_3ap_3a221-244.htm
Jari Kauppila,2009,Quantifying the relative importance of export industries in a small open economy during the great depression of the 1930s: an input-output approach,Cliometrica,"Great depression, Input–output, Export industries, Domestic market industries, Small open economy",N14 C67,2009-08-25,https://econpapers.repec.org/article/afccliome/v_3a3_3ay_3a2009_3ai_3a3_3ap_3a245-273.htm
Donald J. Smythe,2010,A Schumpeterian view of the Great Merger Movement in American manufacturing,Cliometrica,"Great Merger Movement, Technological change, Market power, Schumpeterian hypothesis, Antitrust",K20 L10 L40 N61 O30,2010-05-02,https://econpapers.repec.org/article/afccliome/v_3a4_3ay_3a2010_3ai_3a2_3ap_3a141-170.htm
Svante Prado,2010,Fallacious convergence? Williamson’s real wage comparisons under scrutiny,Cliometrica,"Convergence, Real wages, Wage benchmark, Purchasing power parity, Catching up, International comparisons",N30 F20 J30 O47,2010-05-02,https://econpapers.repec.org/article/afccliome/v_3a4_3ay_3a2010_3ai_3a2_3ap_3a171-205.htm
Harald Degner,2011,Do technological booms matter? New evidence on the relationship between firm size and innovativeness,Cliometrica,"Innovation, Firm Size, Technology, Patents",N73 N74 O31,2011-05-24,https://econpapers.repec.org/article/afccliome/v_3a5_3ay_3a2011_3ai_3a2_3ap_3a121-144.htm
Christopher Hoag,2011,Clearinghouse membership and deposit contraction during the Panic of 1893,Cliometrica,"Clearinghouse, Bank panic",G21 N21,2011-05-17,https://econpapers.repec.org/article/afccliome/v_3a5_3ay_3a2011_3ai_3a2_3ap_3a187-203.htm
Concha Betrán,2011,Regional specialisation and industry location in the long run: Spain in the US mirror (1856-2002),Cliometrica,"Regional specialisation, Industry location, Factor endowments and increasing returns",R11 R12 N N9,2011-09-10,https://econpapers.repec.org/article/afccliome/v_3a5_3ay_3a2011_3ai_3a3_3ap_3a259-290.htm
Scott Alan Carson,2012,"A quantile approach to the demographic, residential, and socioeconomic effects on 19th-century African-American body mass index values",Cliometrica,"Nineteenth-century US economic development, Body mass index, 19th-century race relations",I1 J11 J71 N31,2012-05-06,https://econpapers.repec.org/article/afccliome/v_3a6_3ay_3a2012_3ai_3a2_3ap_3a193-209.htm
Patricio Sáiz,2014,Did patents of introduction encourage technology transfer? Long-term evidence from the Spanish innovation system,Cliometrica,"IPR institutions, Patents of introduction, Technology transfer, European periphery",N43 N44 N73 N74 O31 O34 O38,2014-03-14,https://econpapers.repec.org/article/afccliome/v_3a8_3ay_3a2014_3ai_3a1_3ap_3a49-78.htm
Felix Selgert,2014,": Performance, pay and promotion: implementing a Weberian bureaucracy in nineteenth century Baden",Cliometrica,"Institutional reform, Administration, Incentive mechanism, Public labor markets, Weberian bureaucracy",N23 N33 N43 N93 J45,2014-03-14,https://econpapers.repec.org/article/afccliome/v_3a8_3ay_3a2014_3ai_3a1_3ap_3a79-113.htm
Katharina Muehlhoff,2014,The economic costs of sleaze or how replacing samurai with bureaucrats boosted regional growth in Meiji Japan,Cliometrica,"Meiji Japan, Administrative reform, Economic development",N40 N45 O17,2014-05-09,https://econpapers.repec.org/article/afccliome/v_3a8_3ay_3a2014_3ai_3a2_3ap_3a201-239.htm
"Jan Annaert, Frans Buelens and Marc Deloof",2015,Long-run stock returns: evidence from Belgium 1838–2010,Cliometrica,"Long-run stock returns, Equity premium, Size effect, Nineteenth and twentieth centuries Brussels stock exchange",G10 N23 N24,2015-01-23,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a1_3ap_3a77-95.htm
Sakari Saaritsa and Antti Kaihovaara,2016,"Good for girls or bad for boys? Schooling, social inequality and intrahousehold allocation in early twentieth century Finland",Cliometrica,Gender Education Labour Intrahousehold allocation Engel model,I24 I25 I26 J16 J24 N30 N34,2016-01-06,https://econpapers.repec.org/article/afccliome/v_3a10_3ay_3a2016_3ai_3a1_3ap_3a55-98.htm
"Tai-kuang Ho, Cheng-chung Lai and Joshua Jr-shiang Gau",2013,"Equilibrium and adjustment of exchange rates in the Chinese silver standard economy, 1928-1935",Cliometrica,"Silver standard, Chinese economy, Cointegration",C32 E42 N15,2013-01-23,https://econpapers.repec.org/article/afccliome/v_3a7_3ay_3a2013_3ai_3a1_3ap_3a87-98.htm
Laurent Heyberger,2014,": Received wisdom versus reality: height, nutrition, and urbanization in mid-nineteenth-century France",Cliometrica,"Height, France, Urbanisation, Nutrition, Anthropometrics, Biological standard of living",I32 N33 N93 O13,2014-03-14,https://econpapers.repec.org/article/afccliome/v_3a8_3ay_3a2014_3ai_3a1_3ap_3a115-140.htm
Federico A. Bugni,2012,"Child labor legislation: effective, benign, both, or neither?",Cliometrica,"Child labor, Child labor legislation, Treatment effect estimation, Difference-in-difference estimation",C21 C25 J20 N31,2012-10-15,https://econpapers.repec.org/article/afccliome/v_3a6_3ay_3a2012_3ai_3a3_3ap_3a223-248.htm
"Christopher Bailey, Tarique Hossain and Gary Pecquet",2018,"Private banks in early Michigan, 1837–1884",Cliometrica,"Private bank, Exchange broker, Michigan banking, Antebellum banking",N21 N11 G21,2018-01-24,https://econpapers.repec.org/article/afccliome/v_3a12_3ay_3a2018_3ai_3a1_3ap_3a153-180.htm
John McDonald,2015,"Entrepreneurship in Wiltshire, England, almost 1,000 years ago",Cliometrica,"Domesday Book, DEA, Production functions, Manorial efficiency",N53 D24 C21,2015-04-28,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a2_3ap_3a193-207.htm
Jari Eloranta,2011,Why did the League of Nations fail?,Cliometrica,"League of Nations, Disarmament, Military spending, Alliance, Arms race",F51 F53 H41 H56 N40,2011-01-16,https://econpapers.repec.org/article/afccliome/v_3a5_3ay_3a2011_3ai_3a1_3ap_3a27-52.htm
Joel Mokyr,2014,"A Flourishing Economist: A Review Essay on Edmund Phelps's Mass Flourishing: How Grassroots Innovation Created Jobs, Challenge, and Change",Journal of Economic Literature ,,E02 N00 O10 O30 P16,2014-03-13,https://econpapers.repec.org/article/aeajeclit/v_3a52_3ay_3a2014_3ai_3a1_3ap_3a189-96.htm
E. Roy Weintraub,2017,Game Theory and Cold War Rationality: A Review Essay,Journal of Economic Literature ,,B23 C70 D74 N42,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a55_3ay_3a2017_3ai_3a1_3ap_3a148-61.htm
Richard Ruggles,1993,"Accounting for Saving and Capital Formation in the United States, 1947-1991",Journal of Economic Perspectives ,,E22 E21 E10 N12,2012-12-18,https://econpapers.repec.org/article/aeajecper/v_3a7_3ay_3a1993_3ai_3a2_3ap_3a3-17.htm
Peter Temin,1993,Transmission of the Great Depression,Journal of Economic Perspectives ,,N12 E42 E44 E32,2012-12-18,https://econpapers.repec.org/article/aeajecper/v_3a7_3ay_3a1993_3ai_3a2_3ap_3a87-102.htm
