publication.year,source.title,eh,n_articles,ave_authors,sd_authors,tot_cite,ave_cite,sd_cite,M_cit,keywords,top1keyword,top2keyword,top3keyword,n_keywords,keyword_entropy,funders,top1funder,top2funder,top3funder,n_funding,n_econometric_margo,n_econometric_other,country,continent,new_keywords
2003,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Afghanistan,Asia,0
2014,REVIEW OF ECONOMICS AND STATISTICS,0,1,3,NA,12,12,NA,12,CIVIL CONFLICT;  NATURAL-RESOURCES;  WARS;  CURSE;  DETERMINANTS;  INSURGENCY;  GRIEVANCE;  MODELS;  SHOCKS;  INCOME,CURSE,DETERMINANTS,GRIEVANCE,10,-0,,None,None,None,0,0,1,Afghanistan,Asia,3
2018,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Afghanistan,Asia,0
2023,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Afghanistan,Asia,0
2018,SOCIAL SCIENCE HISTORY,1,2,1,0,6,3,4.242640687119285,6,,None,None,None,0,-0,,None,None,None,0,0,0,Albania,Europe,0
2002,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,1,2,NA,48,48,NA,48,,None,None,None,0,-0,,None,None,None,0,1,1,Algeria,Africa,0
2004,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Algeria,Africa,0
2011,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Algeria,Africa,0
2015,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,6,6,NA,6,OTTOMAN-EMPIRE,OTTOMAN-EMPIRE,None,None,1,-0,,None,None,None,0,0,1,Algeria,Africa,0
2017,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Algeria,Africa,0
2020,ECONOMIC HISTORY REVIEW,1,1,1,NA,8,8,NA,8,COLONIALISM;  GEOGRAPHY;  MARKETS;  ORIGINS;  TRADE;  RISE,GEOGRAPHY,MARKETS,ORIGINS,6,-0,,None,None,None,0,0,0,Algeria,Africa,1
2022,ECONOMIC HISTORY REVIEW,1,1,3,NA,0,0,NA,0,POLITICAL-ECONOMY;  MARKET;  REGULATIONS;  EUROPE,EUROPE,MARKET,REGULATIONS,4,-0,,None,None,None,0,0,1,Algeria,Africa,1
