Journal,n_articles,<80s,80s,90s,00s,10s,20s
American Economic Review ,166,0,0,4,43,88,31
American Economic Review: Insights ,4,0,0,0,0,0,4
Asian Economics Letters ,13,0,0,0,0,0,13
Cliometrica,305,0,0,0,29,141,135
Economic Modelling ,20,0,0,0,0,7,13
Economics Letters ,50,0,0,0,0,25,25
European Economic Review ,45,0,0,0,0,16,29
European Journal of Political Economy ,34,0,0,0,0,15,19
Journal of Development Economics ,71,0,0,0,0,32,39
Journal of Economic Literature ,73,0,0,0,7,37,29
Journal of Economic Perspectives ,66,0,0,18,11,16,21
Journal of International Economics ,17,0,0,0,0,13,4
Journal of Monetary Economics ,4,0,0,0,0,1,3
Journal of Public Economics ,16,0,0,0,0,9,7
Nordic Journal of Political Economy ,4,0,0,0,3,1,0
The Review of Economics and Statistics ,15,0,0,0,1,14,0
The Review of Financial Studies ,8,0,0,0,0,1,7
