.,Freq,freq,cum_freq,rank,gini
MODEL,2225,0.014477476949904677,0.014477476949904677,1,-0.0021290930807276176
GROWTH,2097,0.013644615354584317,0.028122092304488994,2,-0.0021290930807276176
IMPACT,1533,0.009974818950203987,0.03809691125469298,3,-0.0021290930807276176
RISK,1453,0.009454280453128761,0.04755119170782174,4,-0.0021290930807276176
MODELS,1322,0.008601898664168082,0.05615309037198982,5,-0.0021290930807276176
MARKET,1290,0.008393683265337992,0.0645467736373278,6,-0.0021290930807276176
INFORMATION,1210,0.007873144768262768,0.07241991840559057,7,-0.0021290930807276176
POLICY,1210,0.007873144768262768,0.08029306317385335,8,-0.0021290930807276176
INVESTMENT,1103,0.007176924528424655,0.087469987702278,9,-0.0021290930807276176
COMPETITION,1067,0.0069426822047408045,0.0944126699070188,10,-0.0021290930807276176
TRADE,1008,0.0065587850631478265,0.10097145497016663,11,-0.0021290930807276176
MONETARY-POLICY,991,0.006448170632519341,0.10741962560268598,12,-0.0021290930807276176
BEHAVIOR,982,0.006389610051598379,0.11380923565428436,13,-0.0021290930807276176
PRICES,967,0.006292009083396774,0.12010124473768113,14,-0.0021290930807276176
PERFORMANCE,898,0.005843044629669393,0.12594428936735053,15,-0.0021290930807276176
RETURNS,846,0.005504694606570497,0.13144898397392102,16,-0.0021290930807276176
CONSUMPTION,781,0.005081757077696878,0.1365307410516179,17,-0.0021290930807276176
INCOME,770,0.005010183034349034,0.1415409240859669,18,-0.0021290930807276176
INEQUALITY,760,0.004945115722214631,0.14648603980818153,19,-0.0021290930807276176
MARKETS,756,0.0049190887973608695,0.1514051286055424,20,-0.0021290930807276176
UNITED-STATES,749,0.004873541678866788,0.15627867028440917,21,-0.0021290930807276176
PRODUCTIVITY,728,0.004736900323384541,0.1610155706077937,22,-0.0021290930807276176
ECONOMIC-GROWTH,714,0.004645806086396377,0.16566137669419007,23,-0.0021290930807276176
EQUILIBRIUM,694,0.004515671462127571,0.17017704815631762,24,-0.0021290930807276176
DYNAMICS,688,0.004476631074846929,0.17465367923116454,25,-0.0021290930807276176
DEMAND,664,0.004320469525724362,0.1789741487568889,26,-0.0021290930807276176
INCENTIVES,627,0.00407972047082707,0.183053869227716,27,-0.0021290930807276176
ECONOMICS,623,0.00405369354597331,0.1871075627736893,28,-0.0021290930807276176
COSTS,599,0.0038975319968507422,0.19100509477054006,29,-0.0021290930807276176
CHOICE,594,0.0038649983407835404,0.1948700931113236,30,-0.0021290930807276176
TESTS,581,0.0037804108350088165,0.19865050394633244,31,-0.0021290930807276176
DETERMINANTS,578,0.003760890641368496,0.20241139458770094,32,-0.0021290930807276176
INFLATION,529,0.0034420608119099206,0.20585345539961086,33,-0.0021290930807276176
SHOCKS,528,0.0034355540806964807,0.20928900948030735,34,-0.0021290930807276176
EFFICIENCY,527,0.0034290473494830403,0.2127180568297904,35,-0.0021290930807276176
INSTITUTIONS,524,0.0034095271558427192,0.21612758398563311,36,-0.0021290930807276176
FIRMS,504,0.0032793925315739133,0.21940697651720703,37,-0.0021290930807276176
UNCERTAINTY,499,0.003246858875506712,0.22265383539271374,38,-0.0021290930807276176
QUALITY,497,0.003233845413079831,0.22588768080579358,39,-0.0021290930807276176
TAXATION,492,0.0032013117570126298,0.2290889925628062,40,-0.0021290930807276176
UNEMPLOYMENT,485,0.0031557646385185476,0.23224475720132476,41,-0.0021290930807276176
