publication.year,source.title,n_articles,ave_authors,sd_authors,tot_cite,ave_cite,sd_cite,M_cit,keywords,n_keywords,top1keyword,top2keyword,top3keyword,keyword_entropy,ave_keywords,n_funding,top2funder,top3funder,ave_funding,country,continent,new_keywords
2003,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Afghanistan,Asia,NA
2012,EU.J.POL.ECON.,1,2,NA,10,10,NA,10,FOREIGN-AID;GROWTH ACCELERATIONS;ECONOMIC-GROWTH;VOLATILITY;ALLOCATION;AFGHANISTAN,6,AFGHANISTAN,ALLOCATION,ECONOMIC-GROWTH,1.7917594692280547,1,1,NA,NA,NA,Afghanistan,Asia,2
2013,AMER.ECON.REV,1,1,NA,7,7,NA,7,AFGHANISTAN;PROSPECTS;SANCTIONS;IRAQ,4,AFGHANISTAN,IRAQ,PROSPECTS,1.3862943611198906,1,1,NA,NA,NA,Afghanistan,Asia,1
2014,AMER.ECON.REV,1,4,NA,250,250,NA,250,POSTTRAUMATIC-STRESS-DISORDER;LOTTERY EQUIVALENTS;GENETIC-VARIATION;PROSPECT-THEORY;UTILITY;DISAPPOINTMENT;AVERSION;DECISION;CHOICE;COMORBIDITY,10,AVERSION,CHOICE,COMORBIDITY,2.3025850929940455,1,1,NA,NA,NA,Afghanistan,Asia,2
2014,ECON.MODELLING,1,4,NA,31,31,NA,31,HUMAN-DEVELOPMENT INDEX;ECONOMIC-GROWTH;FINANCIAL DEVELOPMENT;PUBLIC-OPINION;HEALTH;SUSTAINABILITY;AFGHANISTAN,7,AFGHANISTAN,ECONOMIC-GROWTH,FINANCIAL DEVELOPMENT,1.945910149055313,1,1,NA,NA,NA,Afghanistan,Asia,0
2014,REV.ECON.STAT.,1,3,NA,12,12,NA,12,CIVIL CONFLICT;NATURAL-RESOURCES;WARS;CURSE;DETERMINANTS;INSURGENCY;GRIEVANCE;MODELS;SHOCKS;INCOME,10,CIVIL CONFLICT,CURSE,DETERMINANTS,2.3025850929940455,1,1,NA,NA,NA,Afghanistan,Asia,0
2015,AMER.ECON.REV,1,2,NA,52,52,NA,52,INDIA;ECONOMICS;AUDITS;FIRMS;WAGES,5,AUDITS,ECONOMICS,FIRMS,1.6094379124341005,1,1,NA,NA,NA,Afghanistan,Asia,0
2015,EU.J.POL.ECON.,1,2,NA,3,3,NA,3,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Afghanistan,Asia,NA
2017,J.DEV.ECON.,1,3,NA,24,24,NA,24,FIELD EXPERIMENT;DECENTRALIZATION;ACCOUNTABILITY;PARTICIPATION;IDEOLOGY;WOMEN,6,ACCOUNTABILITY,DECENTRALIZATION,FIELD EXPERIMENT,1.7917594692280547,1,1,NA,NA,NA,Afghanistan,Asia,0
2018,AMER.ECON.REV,3,2.6666666666666665,1.5275252316519465,94,31.333333333333332,11.930353445448855,41,ELECTION FRAUD EVIDENCE;TERRORISM;CONFLICT;OUTCOMES;ORIGINS;WEATHER;TIME-PREFERENCES;FIELD EXPERIMENT;DECISION-MAKING;LOSS AVERSION;SAVINGS;ECONOMICS;INCENTIVES;PROPENSITY;IMPACTS;POVERTY;EXPECTED-UTILITY-THEORY;PROSPECT-THEORY;CHOICE;TIME;DISAPPOINTMENT;PROBABILITY;DECISION;HETEROGENEITY;BEHAVIOR;AVERSION,26,AVERSION,BEHAVIOR,CHOICE,3.2580965380214835,1,1,NA,NA,NA,Afghanistan,Asia,1
