"word","freq"
"de",2868
"economic",2487
"evidence",2084
"la",1991
"growth",1480
"development",1403
"en",1342
"social",1017
"century",1007
"–",994
"financial",994
"y",944
"new",878
"analysis",877
"market",861
"trade",848
"case",839
"policy",811
"impact",788
"economy",783
"el",777
"history",760
"capital",737
"historical",722
"political",705
"us",655
"great",648
"africa",647
"war",642
"effects",638
"del",627
"study",600
"crisis",596
"inequality",596
"european",573
"education",569
"th",559
"role",552
"states",529
"perspective",528
"industrial",526
"change",521
"countries",517
"world",505
"early",482
"international",479
"united",479
"global",475
"s",474
"american",464
"institutions",459
"income",454
"public",453
"markets",451
"state",449
"china",436
"europe",427
"bank",424
"industry",422
"et",418
"monetary",416
"approach",413
"human",413
"business",408
"health",407
"data",400
"revolution",390
"economics",383
"regional",382
"south",377
"theory",376
"gender",371
"e",362
"labor",361
"america",350
"review",349
"migration",348
"germany",346
"spain",346
"integration",340
"system",338
"banking",336
"productivity",336
"covid",335
"model",335
"los",332
"colombia",325
"performance",320
"energy",317
"depression",316
"long",314
"italy",313
"lessons",311
"british",310
"effect",307
"transition",301
"institutional",299
"origins",299
"latin",295
"evolution",292
"money",290
"debt",287
"among",286
"des",285
"england",285
"innovation",285
"national",285
"agricultural",283
"modern",283
"research",282
"african",280
"france",272
"rise",272
"women",271
"colonial",270
"central",268
"comparative",264
"empirical",263
"sector",262
"crises",261
"first",261
"price",261
"technology",258
"time",257
"work",256
"risk",255
"stock",255
"banks",252
"rural",247
"policies",246
"prices",246
"urban",246
"longrun",245
"exchange",244
"wealth",244
"years",244
"investment",238
"foreign",237
"longterm",237
"du",236
"conflict",235
"power",234
"mortality",233
"labour",232
"family",231
"government",231
"management",231
"life",230
"two",230
"age",229
"fiscal",228
"india",228
"italian",228
"using",228
"japan",227
"las",225
"violence",223
"since",218
"land",216
"production",216
"un",215
"law",214
"local",213
"una",213
"rights",212
"governance",211
"real",209
"britain",208
"population",207
"poverty",205
"dynamics",204
"quality",204
"determinants",202
"german",202
"pandemic",201
"spanish",200
"structural",199
"employment",197
"towards",196
"der",195
"finance",195
"shocks",195
"civil",193
"late",193
"can",192
"climate",192
"relationship",192
"globalization",190
"credit",188
"factors",187
"le",187
"natural",187
"structure",187
"welfare",186
"sweden",185
"fertility",184
"implications",184
"child",183
"distribution",183
"era",183
"mobility",183
"politics",182
"consequences",181
"interwar",181
"nineteenth",181
"union",181
"period",180
"reform",180
"und",180
"east",178
"inflation",178
"rate",178
"oil",177
"manufacturing",174
"economies",170
"les",170
"school",170
"tax",170
"uk",170
"corporate",169
"experience",169
"consumption",168
"costs",167
"influence",166
"french",164
"industrialization",164
"living",164
"challenges",163
"cultural",163
"agriculture",162
"food",162
"persistence",162
"cycles",161
"future",161
"chinese",160
"rates",160
"trends",160
"gold",159
"sustainable",159
"spatial",158
"asia",157
"centuries",157
"culture",157
"run",157
"changes",156
"versus",155
"community",153
"wages",153
"competition",152
"technological",152
"west",152
"cities",151
"protection",151
"context",150
"standard",150
"currency",149
"environmental",148
"ii",148
"use",148
"across",147
"black",147
"gap",147
"knowledge",147
"decline",146
"efficiency",145
"female",145
"value",145
"developing",144
"patterns",144
"understanding",143
"educational",142
"convergence",141
"digital",141
"siglo",141
"property",140
"democracy",139
"macroeconomic",139
"networks",139
"survey",139
"wellbeing",138
"subsaharan",137
"twentieth",137
"media",136
"capitalism",135
"learning",135
"people",135
"argentina",133
"divergence",133
"household",133
"nigeria",133
"c",131
"empire",131
"framework",131
"housing",131
"transformation",131
"mass",130
"private",130
"support",130
"swedish",130
"comparison",129
"regulation",129
"children",128
"city",128
"resource",128
"perspectives",127
"accounting",126
"experiences",126
"past",126
"demand",125
"entrepreneurship",125
"eu",125
"exploring",125
"impacts",125
"london",125
"marriage",125
"north",125
"poor",125
"relations",125
"students",124
"supply",124
"systems",124
"interest",123
"brazil",121
"federal",121
"legacy",121
"sovereign",121
"participation",120
"region",120
"matter",119
"outcomes",119
"para",119
"process",119
"control",118
"firms",118
"wage",118
"changing",117
"information",117
"measuring",117
"society",117
"access",116
"geography",116
"introduction",116
"entre",115
"japanese",115
"panel",115
"times",115
"view",115
"asian",114
"higher",114
"identity",114
"middle",114
"socioeconomic",114
"young",114
"differences",113
"immigration",113
"russia",113
"transport",113
"assessment",112
"behavior",112
"demographic",112
"di",112
"postwar",112
"services",112
"security",111
"resources",110
"strategies",110
"critical",109
"domestic",109
"emerging",109
"formation",109
"mexico",109
"stability",109
"water",109
"workers",109
"chile",107
"care",105
"cycle",105
"infrastructure",105
"network",105
"trust",105
"attitudes",104
"english",104
"intergenerational",104
"australia",103
"based",103
"indonesia",103
"legal",103
"activity",102
"desarrollo",102
"diversity",102
"revisited",102
"au",101
"greece",101
"last",101
"à",100
"die",100
"regime",100
"top",100
"death",99
"second",99
"standards",99
"general",98
"o",98
"status",98
"cooperation",97
"diffusion",97
"economía",97
"factor",97
"gdp",97
"contemporary",96
"da",96
"different",96
"económico",96
"medieval",96
"practices",96
"reforms",96
"russian",96
"science",96
"sex",96
"western",96
"big",95
"satisfaction",95
"small",95
"sur",95
"university",95
"within",95
"canada",94
"capacity",94
"explaining",94
"racial",94
"religion",94
"romania",94
"sustainability",94
"working",94
"españa",93
"volatility",93
"vs",93
"análisis",92
"causes",92
"indian",92
"preindustrial",92
"race",92
"returns",92
"experiment",91
"insights",91
"making",91
"regions",91
"choice",90
"slave",90
"beyond",89
"caso",89
"good",89
"insurance",89
"military",89
"one",89
"ownership",89
"potential",89
"religious",89
"building",88
"class",88
"ireland",88
"política",88
"rule",88
"spending",88
"youth",88
"commodity",87
"communities",87
"fall",87
"taxation",87
"xix",87
"crime",86
"estimates",86
"ethnic",86
"southern",86
"al",85
"crecimiento",85
"lending",85
"roots",85
"st",85
"strategy",85
"wars",85
"firm",84
"free",84
"historia",84
"index",84
"job",84
"paper",84
"present",84
"affect",83
"communication",83
"industries",83
"literature",83
"sobre",83
"height",82
"slavery",82
"debate",81
"eastern",81
"hypothesis",81
"imperial",81
"korea",81
"migrants",81
"regimes",81
"series",81
"values",81
"contribution",80
"models",80
"recovery",80
"resilience",80
"unemployment",80
"women’s",80
"act",79
"assessing",79
"dans",79
"recent",79
"adoption",78
"application",78
"conditions",78
"emergence",78
"expansion",78
"online",78
"ottoman",78
"practice",78
"republic",78
"service",78
"uruguay",78
"country",77
"current",77
"environment",77
"failure",77
"greek",77
"high",77
"immigrants",77
"irish",77
"old",77
"perceptions",77
"studies",77
"américa",76
"bulgaria",76
"characteristics",76
"nazi",76
"nineteenthcentury",76
"progress",76
"reserve",76
"savings",76
"three",76
"bulgarian",75
"cost",75
"direct",75
"home",75
"latina",75
"quantitative",75
"size",75
"toward",75
"academic",74
"birth",74
"companies",74
"output",74
"poland",74
"económica",73
"end",73
"estimating",73
"famine",73
"il",73
"nations",73
"problem",73
"schooling",73
"sexual",73
"electricity",72
"exports",72
"issues",72
"project",72
"response",72
"success",72
"boom",71
"large",71
"men",71
"tourism",71
"common",70
"evaluation",70
"financing",70
"xx",70
"dynamic",69
"green",69
"islamic",69
"trading",69
"une",69
"reflections",68
"turkey",68
"balance",67
"chinas",67
"disease",67
"export",67
"incomes",67
"measurement",67
"occupational",67
"portugal",67
"return",67
"equity",66
"freedom",66
"level",66
"recession",66
"alternative",65
"australian",65
"company",65
"construction",65
"design",65
"discrimination",65
